Fecha,Fondo,Tipo,Moneda,PatrimonioNeto,PatrimonioNeto_USD
2025-01-21,Novus Renta Mixta,Mixto,ARS,1468616975.88,1402690.4661093538
2025-01-21,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-21,Novus Performance,House View ARS,ARS,46708664141.1,44611902.86607326
2025-01-22,Novus Renta Fija,Renta Fija,ARS,2673705944.75,2553682.7501489874
2025-01-22,Novus Renta Dolar,USD MEP,USD,17841946.07,17841946.07
2025-01-22,Novus Multiestrategia,Multi,ARS,5236563731.33,5001493.338117857
2025-01-22,Novus Renta Mixta,Mixto,ARS,1466183154.75,1400365.8996966437
2025-01-22,Novus PyME FCI Abierto PyMES,PyME,ARS,1929771005.24,1843143.1988605782
2025-01-22,Novus Liquidez Plus,Renta Fija CP,ARS,7329138399.09,7000131.910527181
2025-01-22,Novus Renta Balanceado,Renta Fija Mix,ARS,823339565.24,786379.6874884646
2025-01-22,Novus Capital,House View USD,USD,25113888.41,25113888.41
2025-01-22,Novus Income,Renta Fija,ARS,2710303050.36,2588637.0043687336
2025-01-22,Novus Renta Capital,Pagarés/Cheques,ARS,1499371360.05,1432064.2798230858
2025-01-22,Novus Estrategia,CER,ARS,1298530652.35,1240239.3516598798
2025-01-22,Novus Valor,Dólar Linked,ARS,537498205.65,513369.8036987312
2025-01-22,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-22,Novus Balanceado,Renta Fija Mix,ARS,3132241.96,2991.6349919672125
2025-01-22,Novus Gestion II,Renta Fija CP,ARS,7586160118.86,7245615.873892362
2025-01-22,Novus Gestión,Renta Fija CER,ARS,72599127797.44,69340138.43078747
2025-01-22,Novus Liquidez,Money Market,ARS,55336359032.09,52852298.80786775
2025-01-22,Novus Performance,House View ARS,ARS,47126332864.74,45010822.35717532
2025-01-23,Novus Performance,House View ARS,ARS,47131906579.96,45016145.867204346
2025-01-23,Novus Capital,House View USD,USD,25121523.69,25121523.69
2025-01-23,Novus Renta Dolar,USD MEP,USD,17875902.73,17875902.73
2025-01-23,Novus Gestión,Renta Fija CER,ARS,72629911615.72,69369540.35730812
2025-01-23,Novus Estrategia,CER,ARS,1303282100.08,1244777.5059509906
2025-01-23,Novus Renta Balanceado,Renta Fija Mix,ARS,822019086.51,785118.48531275
2025-01-23,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-23,Novus Renta Mixta,Mixto,ARS,1465179907.73,1399407.688636021
2025-01-23,Novus Valor,Dólar Linked,ARS,538568091.56,514391.66221625404
2025-01-23,Novus Income,Renta Fija,ARS,2711560628.13,2589838.1292211227
2025-01-23,Novus Renta Fija,Renta Fija,ARS,2676399027.61,2556254.939980786
2025-01-23,Novus Renta Capital,Pagarés/Cheques,ARS,1496280190.88,1429111.873855361
2025-01-23,Novus PyME FCI Abierto PyMES,PyME,ARS,1931191325.52,1844499.7606791449
2025-01-23,Novus Multiestrategia,Multi,ARS,5230465540.55,4995668.896341611
2025-01-23,Novus Balanceado,Renta Fija Mix,ARS,3132519.06,2991.899652892793
2025-01-23,Novus Gestion II,Renta Fija CP,ARS,7599391007.79,7258252.825572116
2025-01-23,Novus Liquidez Plus,Renta Fija CP,ARS,7336348046.56,7007017.915480324
2025-01-23,Novus Liquidez,Money Market,ARS,53638844228.87,51230985.78366727
2025-01-24,Novus Capital,House View USD,USD,25230667.29,25230667.29
2025-01-24,Novus Multiestrategia,Multi,ARS,5255414299.24,5024296.419060904
2025-01-24,Novus Valor,Dólar Linked,ARS,539376954.35,515656.7200908557
2025-01-24,Novus Liquidez Plus,Renta Fija CP,ARS,7369121611.13,7045049.0131251905
2025-01-24,Novus Renta Dolar,USD MEP,USD,17927902.25,17927902.25
2025-01-24,Novus Renta Fija,Renta Fija,ARS,2686481136.78,2568337.487179718
2025-01-24,Novus Renta Mixta,Mixto,ARS,1469897891.27,1405256.0447158332
2025-01-24,Novus Renta Capital,Pagarés/Cheques,ARS,1505040359.03,1438853.0486569048
2025-01-24,Novus Liquidez,Money Market,ARS,55858225416.71,53401742.651736915
2025-01-24,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-24,Novus Estrategia,CER,ARS,1306299893.92,1248852.6128550936
2025-01-24,Novus Renta Balanceado,Renta Fija Mix,ARS,823085887.37,786888.9569925425
2025-01-24,Novus Balanceado,Renta Fija Mix,ARS,3140395.67,3002.2901755808493
2025-01-24,Novus Income,Renta Fija,ARS,2722410243.66,2602686.5361335455
2025-01-24,Novus PyME FCI Abierto PyMES,PyME,ARS,1933463482.35,1848435.3654403498
2025-01-24,Novus Gestión,Renta Fija CER,ARS,73146190076.9,69929432.7612693
2025-01-24,Novus Gestion II,Renta Fija CP,ARS,7687357752.24,7349290.051633982
2025-01-24,Novus Performance,House View ARS,ARS,47170377348.92,45095960.947208904
2025-01-27,Novus Renta Dolar,USD MEP,USD,17882138.49,17882138.49
2025-01-27,Novus Renta Capital,Pagarés/Cheques,ARS,1501868043.16,1431031.9863439803
2025-01-27,Novus Valor,Dólar Linked,ARS,539401211.17,513960.19122481596
2025-01-27,Novus Balanceado,Renta Fija Mix,ARS,3140185.67,2992.077870818821
2025-01-27,Novus Renta Mixta,Mixto,ARS,1471595708.11,1402187.4550583132
2025-01-27,Novus Estrategia,CER,ARS,1306252472.35,1244642.6826159004
2025-01-27,Novus Income,Renta Fija,ARS,2726664281.43,2598060.342597132
2025-01-27,Novus Renta Fija,Renta Fija,ARS,2686725747.03,2560005.521153668
2025-01-27,Novus Capital,House View USD,USD,25104866.64,25104866.64
2025-01-27,Novus Gestion II,Renta Fija CP,ARS,7709516817.07,7345895.143538025
2025-01-27,Novus Liquidez Plus,Renta Fija CP,ARS,6922303616.42,6595811.089660625
2025-01-27,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-27,Novus Performance,House View ARS,ARS,47159534274.17,44935240.69226957
2025-01-27,Novus Gestión,Renta Fija CER,ARS,73129690878.33,69680507.06914799
2025-01-27,Novus Renta Balanceado,Renta Fija Mix,ARS,823204975.06,784378.2654498215
