Fecha,Agente,Asset_Category,Moneda,Volumen_USD,Gastos_USD,TC_Aplicado,Fondo
2026-03-19,WIN Securities,Renta Variable,ARS,4941.115782719312,8.96813189357384,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,92558.57958552435,167.99382474442803,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,7451.307234259067,13.52412326123076,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,25013.660661494552,45.399798941057185,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,49763.22666697711,90.3202576196384,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,39900.35114301529,72.41913904561972,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,19797.665712250146,35.93276421789536,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,23586.377055788278,42.80927188583624,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,97072.59892044427,176.18676840310187,1394.5000082973,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,14320.849258611514,25.992342051629116,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,5888.0261543398,10.686767829709638,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,3512.1999059896307,6.374635309593784,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,184.47681518699375,0.3348220215059886,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,739.3743589799749,1.3419633827999544,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,1482.4955717779496,2.6907228824099083,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,14324.272487819513,25.998555644141117,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,732.5027297609752,1.329493047827955,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,13688.569474738535,24.844761992911156,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,3696.8243299570745,6.709737805761772,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,1109.5541670429623,2.0138440314499317,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,7395.987387095749,13.423718689743545,1390.4999375666,RVARIABLE
2026-03-20,WIN Securities,Renta Variable,ARS,2949.4391831309,5.353240082143818,1390.4999375666,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,14572.578577839828,26.44923668471052,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,1779.0227710226677,3.2289258339269415,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,7354.972818224867,13.34928018587376,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,18406.430237096665,34.131001543802384,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,1836.4556819699667,3.33316453112994,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,433.5009007994922,0.7867992705749858,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,3653.963805316434,6.63194931569088,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,35681.193213524355,64.76136658670582,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,2758.44482491495,5.00658223967991,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,9183.508066259834,16.668064970279698,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,33915.46085831189,61.55657095150689,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,35607.938241216856,64.62841179569283,1382.5000107144,RVARIABLE
2026-03-27,WIN Securities,Renta Variable,ARS,8718.799932429141,15.824621938841714,1382.5000107144,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,25709.707361492015,46.66311274522803,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,105107.15568248006,190.7694897096241,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,127371.49457512208,231.17926181336014,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,43125.036834880026,78.27194042469205,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,8129.3439069010055,14.754757161340011,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,153454.9608872281,278.5207579802762,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,27017.919124980017,49.03752625189604,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,1353.7160564620008,2.4570029221640017,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,5406.398560402004,9.812618269104007,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,10820.093258324006,19.638476881884014,1397.9999653296,RVARIABLE
2026-03-30,WIN Securities,Renta Variable,ARS,5421.1353275772035,9.839363620268006,1397.9999653296,RVARIABLE
2026-03-31,WIN Securities,Renta Variable,ARS,83651.68768302,151.827815120256,1392.0000089088,RVARIABLE
2026-03-31,WIN Securities,Renta Variable,ARS,160234.438629672,290.82550819618797,1392.0000089088,RVARIABLE
2026-03-31,WIN Securities,Renta Variable,ARS,40103.4322146024,72.787729419216,1392.0000089088,RVARIABLE
2026-03-31,WIN Securities,Renta Variable,ARS,160270.925698404,290.89173664404,1392.0000089088,RVARIABLE
2026-03-31,WIN Securities,Renta Variable,ARS,196032.21857298,355.798481918292,1392.0000089088,RVARIABLE
2026-03-31,WIN Securities,Renta Variable,ARS,92585.0162896398,168.041802085452,1392.0000089088,RVARIABLE
2026-04-01,WIN Securities,Renta Variable,ARS,39372.14409567702,71.46043611758503,1394.0000287164,RVARIABLE
2026-04-01,WIN Securities,Renta Variable,ARS,39435.97479737501,71.57629694733603,1394.0000287164,RVARIABLE
2026-04-01,WIN Securities,Renta Variable,ARS,39334.62616244701,71.39234429689303,1394.0000287164,RVARIABLE
2026-04-01,WIN Securities,Renta Variable,ARS,39120.38118838127,71.00348490748603,1394.0000287164,RVARIABLE
2026-04-01,WIN Securities,Renta Variable,ARS,39337.18713800402,71.39699279034103,1394.0000287164,RVARIABLE
2026-04-01,WIN Securities,Renta Variable,ARS,5.089669909500002,0.009246771689000004,1394.0000287164,RVARIABLE
2026-04-07,WIN Securities,Renta Variable,ARS,87854.30717258227,159.45556484319175,1392.4999119244,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,8041.982471495851,14.596201382161276,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,10713.275367669203,19.444590431959366,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,26858.774002585506,48.74867607595392,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,13586.122131921757,24.658817309077467,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,18948.037293082107,34.39068729955665,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,13391.885568136686,24.306269571465457,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,26853.65328201201,48.73938598613091,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,18636.803067795852,33.82580082931064,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,29445.008162465554,53.44269395901901,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,48299.60246724316,87.66352901120665,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,26968.27309853651,48.94741480897892,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,18846.161620335355,34.20578640397164,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,2658.3487524013503,4.8249007621850915,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,2674.1289321278505,4.853542202803092,1387.5000398906,RVARIABLE
2026-04-08,WIN Securities,Renta Variable,ARS,2687.041364189051,4.876972832760092,1387.5000398906,RVARIABLE
2026-04-09,WIN Securities,Renta Variable,ARS,1323.8233866000037,2.4027372743400064,1380.999926807,RVARIABLE
2026-04-09,WIN Securities,Renta Variable,ARS,20655.055403190057,37.4889302997301,1380.999926807,RVARIABLE
2026-04-09,WIN Securities,Renta Variable,ARS,13009.595186250035,23.612419788750064,1380.999926807,RVARIABLE
2026-04-09,WIN Securities,Renta Variable,ARS,17689.62801937505,32.106678023160086,1380.999926807,RVARIABLE
2026-04-09,WIN Securities,Renta Variable,ARS,40042.31204259011,72.6768032725802,1380.999926807,RVARIABLE
2026-04-09,WIN Securities,Renta Variable,ARS,11600.241382372533,21.05443992834006,1380.999926807,RVARIABLE
2026-04-09,WIN Securities,Renta Variable,ARS,10197.741308040027,18.508900329270052,1380.999926807,RVARIABLE
2026-04-09,WIN Securities,Renta Variable,ARS,23475.200375250064,42.60748958622012,1380.999926807,RVARIABLE
